We have attempted to match the data in Sample_Data/REXS-Database/SEW_Parallelwellengetriebe_3stufig/sew_parallelwellengetriebe_3stufig_1-1.rexsj to the data in Sample_Data/REXS-Database/SEW_Parallelwellengetriebe_3stufig/sew_parallelwellengetriebe_3stufig_1-2.rexsj. 
92/92 components and 88/88 relations from the first data model were matched. 
92/92 components and 88/88 relations from the second data model were matched. 
 
 
The following matching of components and relations was poduced: 
Components are matched as follows: 
ID 	Type                                 	|	ID  	Type                                 
191   	assembly        	     	5,assembly,shaft                                 	918,part,shaft_section      	                                   	|	191   	assembly        	     	5,assembly,shaft                                 	1061,part,shaft_section      	                                   
192   	assembly        	     	5,assembly,shaft                                 	919,part,shaft_section      	                                   	|	192   	assembly        	     	5,assembly,shaft                                 	1062,part,shaft_section      	                                   
193   	assembly        	     	5,assembly,shaft                                 	920,part,shaft_section      	                                   	|	193   	assembly        	     	5,assembly,shaft                                 	1063,part,shaft_section      	                                   
194   	assembly        	     	5,assembly,shaft                                 	921,part,shaft_section      	                                   	|	194   	assembly        	     	5,assembly,shaft                                 	1064,part,shaft_section      	                                   
195   	assembly        	     	5,assembly,shaft                                 	922,part,shaft_section      	                                   	|	195   	assembly        	     	5,assembly,shaft                                 	1065,part,shaft_section      	                                   
196   	assembly        	     	5,assembly,shaft                                 	923,part,shaft_section      	                                   	|	196   	assembly        	     	5,assembly,shaft                                 	1066,part,shaft_section      	                                   
197   	assembly        	     	5,assembly,shaft                                 	924,part,shaft_section      	                                   	|	197   	assembly        	     	5,assembly,shaft                                 	1067,part,shaft_section      	                                   
198   	assembly        	     	5,assembly,shaft                                 	925,part,shaft_section      	                                   	|	198   	assembly        	     	5,assembly,shaft                                 	1068,part,shaft_section      	                                   
199   	assembly        	     	38,assembly,shaft                                	926,part,shaft_section      	                                   	|	199   	assembly        	     	38,assembly,shaft                                	1069,part,shaft_section      	                                   
200   	assembly        	     	38,assembly,shaft                                	927,part,shaft_section      	                                   	|	200   	assembly        	     	38,assembly,shaft                                	1070,part,shaft_section      	                                   
201   	assembly        	     	38,assembly,shaft                                	928,part,shaft_section      	                                   	|	201   	assembly        	     	38,assembly,shaft                                	1071,part,shaft_section      	                                   
202   	assembly        	     	38,assembly,shaft                                	929,part,shaft_section      	                                   	|	202   	assembly        	     	38,assembly,shaft                                	1072,part,shaft_section      	                                   
